,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
124314,6718383,Home 4 Medical Professionals-Kngbr1,26377263,Stat,Brooklyn,East Flatbush,40.66058,-73.93383,Private room,43,30,1,28/11/15,0.02,43,103,New York City
43183,32288769,Clintonville Cape Angler Room,1740371,Suzette,,Clintonville,40.04556,-83.00625,Private room,48,2,22,15/03/20,1.28,3,115,Columbus
8224,30369808,Wyndham or Worldmark  Austin - studio deluxe,30787515,Brooke,,78701,30.27208,-97.74861,Entire home/apt,215,3,2,10/03/19,0.1,15,83,Austin
151689,36183003,Spacious 1 BR Near Central Park – 15 min 2 Midtown,82406306,Marc,Manhattan,East Harlem,40.80128,-73.93991,Private room,95,2,3,27/07/19,0.21,2,0,New York City
42304,45069707,Welcoming & Calming with a Touch of Elegance,346122224,Barbara,,City of North Las Vegas,36.25528,-115.14841,Private room,36,2,0,,,1,180,Clark County
168026,19660877,Mississippi Street Retreat,19004093,Allison,,Humboldt,45.55607,-122.67499,Private room,80,1,95,07/03/20,2.6,1,0,Portland
122249,4567518,Cozy 2BD Near Columbia Univ,23671946,Yonatan,Manhattan,Morningside Heights,40.81473,-73.96039,Entire home/apt,160,3,15,16/01/20,0.4,2,0,New York City
161089,43862423,Sunny room in historic building in Clinton Hill BK,10284594,Elise,Brooklyn,Bedford-Stuyvesant,40.68586,-73.95688,Private room,32,30,0,,,1,332,New York City
55712,19807207,Need a break?  Stay with us this winter - Lovely oceanview Napili Shores Resort G-257 on Napili Bay,136437655,ITrip Vacations - Maui,Maui,Lahaina,20.99294,-156.66742,Entire home/apt,236,5,4,25/01/20,0.11,87,282,Hawaii
34597,9201536,20 MINUTES FROM THE STRIP THREE BEDROOM HOUSE Wifi,47859599,Rubén,,Unincorporated Areas,36.09845,-115.02957,Entire home/apt,586,2,27,24/08/20,0.47,4,365,Clark County
134722,17477768,Large studio in hip area near major subway stop,4035291,Lawrence,Brooklyn,Crown Heights,40.67244,-73.95619,Entire home/apt,123,3,124,06/03/20,3.39,1,47,New York City
72756,41550582,97-A Private bedroom 20 mins to NYC Time Square,33164249,Kevin & David,,Ward D (councilmember Michael Yun),40.74725,-74.04786,Private room,25,1,4,01/03/20,0.76,36,0,Jersey City
33949,45099241,Discover Chicago from a Modern Apartment,2069798,Afsha,,Logan Square,41.91616,-87.71048,Entire home/apt,145,3,1,29/08/20,1.0,6,57,Chicago
223127,28696880,Luxury 3Br Bi-level Condo - Great 14th St Location,42598043,Justin,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9226,-77.02815,Entire home/apt,293,2,121,31/08/20,5.01,4,300,Washington D.C.
16484,7708675,Hollywood Condo with Ocean view,31595811,Miami Rent Apart,,Hollywood,25.98759,-80.11945,Entire home/apt,185,1,4,17/03/20,0.09,47,157,Broward County
182085,1673265,"GardenRoom, with private sitting area.",8857641,Madir,,Linda Vista,32.77691,-117.17087,Private room,49,1,27,29/06/20,0.32,3,31,San Diego
224261,37209726,Tiny House Living in the Big City!,7735223,Heather,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90237,-76.98736,Entire home/apt,99,2,7,21/10/19,0.52,1,0,Washington D.C.
101119,43234074,Fully remodelled apartment in West LA,13992754,James,City of Los Angeles,Sawtelle,34.0429,-118.44914,Entire home/apt,125,30,0,,,37,178,Los Angeles
4454,11493326,Light-Filled Home in Austin,31148752,TurnKey,,78746,30.28733,-97.80392,Entire home/apt,329,2,4,24/10/16,0.08,1,0,Austin
9562,37568721,Private room ~all busline 5 min to ACL/SXSW/Dwtn,21816851,Tonja,,78704,30.25824,-97.74617,Private room,200,3,1,26/08/19,0.08,1,89,Austin
60009,27401267,Maui's #1 Kaanapali Beach * 2 BR/2 BATH - F204,108986794,Maui Kaanapali Vacation Rentals,Maui,Lahaina,20.92729,-156.69206,Entire home/apt,296,3,5,22/12/19,0.27,33,299,Hawaii
135137,18025228,"Huge room 25 min to manhattan. L,M,J,Z train.",101736132,Alex,Brooklyn,Bushwick,40.69045,-73.91507,Private room,45,1,12,07/10/17,0.29,2,250,New York City
55420,19142107,"Maui Sunset #A-106: Ground floor one bedroom, two bath condo sleeps 4 at ocean front resort in North Kihei",132087088,Maui Condo,Maui,Kihei-Makena,20.75498,-156.45693,Entire home/apt,141,5,0,,,195,288,Hawaii
127443,9682898,Bright room in Williamsburg,17261034,Cillian,Brooklyn,Williamsburg,40.71211,-73.95949,Private room,70,12,1,01/01/17,0.02,1,0,New York City
20585,29995235,NEWLY RENOVATED 1 BEDROOM APT DESIGNER UNIT #3,197081111,Designedvr,,Hollywood,26.01995,-80.1168,Entire home/apt,105,1,42,13/06/20,2.18,25,177,Broward County
45007,17664945,Private Studio with Mini Kitchen and Sauna,119491603,Randall,,Hale,39.73624,-104.92895,Entire home/apt,75,2,216,31/05/20,5.38,1,320,Denver
50547,8153521,L0404-2 Bedroom Townhome at the Exclusive Mauna Lani Resort,48697898,South Kohala,Hawaii,South Kohala,19.94704,-155.85736,Entire home/apt,250,3,3,16/02/20,0.08,81,242,Hawaii
106757,23395469,Flatrock Cottage,154187612,Chris,,District 16,36.10032,-86.73428,Entire home/apt,89,5,113,15/03/20,3.72,1,304,Nashville
183231,7516420,"Sea Star-4bd, 3ba, sleep 10",39150333,Cheryl Ann,,Mission Bay,32.78003,-117.25237,Entire home/apt,600,4,24,24/06/20,0.46,6,278,San Diego
114357,29800817,Sonder | Jung Residences | Elegant 1BR + Rooftop,218602737,Sonder (New Orleans),,Central Business District,29.95722,-90.07655,Entire home/apt,90,2,148,24/08/20,6.76,63,202,New Orleans
53670,16363190,Princeville Upper Level 2 Bdr Suite | Near Beaches,26482762,ResortShare1,Kauai,North Shore Kauai,22.22362,-159.48125,Hotel room,371,2,4,31/12/19,0.09,56,328,Hawaii
197306,21429229,Cozy Lofted Bedroom in SF,60908,Mairi,,Castro/Upper Market,37.76847,-122.43562,Private room,89,30,0,,,1,364,San Francisco
75220,3889098,"Modern Beach Pad -Spacious, Venice",1561865,Jessica,City of Los Angeles,Venice,33.9802,-118.46402,Entire home/apt,265,30,53,08/08/20,0.85,2,335,Los Angeles
212414,4645692,Minnestay* Uptown Urban Living ★ Great Restaurants ★ Downtown Access ★ Close to Lakes,24051954,Minnestay,,Hennepin,44.93681,-93.27792,Entire home/apt,103,2,47,08/06/20,0.77,62,350,Twin Cities MSA
174500,19144944,Country Garden Retreat,133856626,Diane,,Ward 3,44.88898,-122.95201,Entire home/apt,77,2,174,13/07/20,4.82,1,0,Salem
118767,849603,Spacious Crown Heights Apartment,4435623,Ayana,Brooklyn,Crown Heights,40.67525,-73.9486,Entire home/apt,110,10,55,05/01/20,0.6,1,89,New York City
55704,19807066,Napili Shores I-269 - Direct Oceanfront Upstairs Corner unit - Enjoy Expansive Ocean Views!,136437655,ITrip Vacations - Maui,Maui,Lahaina,20.99328,-156.66835,Entire home/apt,296,5,2,07/07/19,0.08,87,298,Hawaii
145035,28669168,Cozy Room in the Center of Manhattan!,214037223,Monze,Manhattan,Kips Bay,40.74256,-73.97912,Private room,114,2,75,16/05/20,3.19,6,308,New York City
71866,31149964,"Newly Renovated and Spacious Room ""G"" Close to NYC",153190812,Lex,,Ward C (councilmember Richard Boggiano),40.72742,-74.058,Private room,45,2,22,21/03/20,1.33,24,89,Jersey City
96741,39000358,Dorm-LA 817 Unit 1 / Room C,224538195,Israel,City of Los Angeles,East Hollywood,34.08483,-118.30225,Shared room,25,30,0,,,15,365,Los Angeles
156444,40597392,"Cómoda habitación, con baño privado!",313986292,Mayerlin,Queens,East Elmhurst,40.76442,-73.86635,Private room,60,4,1,19/12/19,0.11,1,363,New York City
107575,30658935,Upscale House Close to Downtown,167417432,Cal & Steph,,District 17,36.13361,-86.76626,Entire home/apt,162,1,51,09/08/20,2.51,6,357,Nashville
97913,40142903,Dreamy Hillside Studio 8 minutes from DTLA,309874290,Anna,City of Los Angeles,El Sereno,34.06848,-118.17294,Private room,101,1,81,07/09/20,8.1,1,71,Los Angeles
41026,42605048,Cancun Resort Las Vegas- 2 bedrooms sleeps 6,31214940,Scott,,Unincorporated Areas,36.03722,-115.17288,Private room,149,2,1,11/03/20,0.17,26,29,Clark County
137426,20249492,2BR PH Loft and Executive Office Central Manhattan,144310942,Jacqueline,Manhattan,Flatiron District,40.74416,-73.99017,Entire home/apt,564,3,61,12/03/20,1.72,1,72,New York City
113902,26227900,Beautiful Traditional New Orleans Home,197105633,Cailin,,Uptown,29.9333,-90.10557,Entire home/apt,105,3,61,16/08/20,2.26,1,149,New Orleans
163321,5125811,Moraga Canyon Elegant 3BR/2BA,26494553,Benjamin,,Upper Rockridge,37.83296,-122.22264,Entire home/apt,300,2,61,22/02/17,0.94,2,74,Oakland
17040,12873076,Bougainvillea House loc 4 miles from Pompano Beach,70156688,Barbara,,Pompano Beach,26.25338,-80.12669,Entire home/apt,110,2,45,05/03/20,0.91,1,78,Broward County
176780,19035273,Sunnyvale Master bedroom,132838046,Qiaoyan,,Sunnyvale,37.39464,-122.00154,Private room,68,2,1,08/11/19,0.14,5,365,San Clara Country
130769,13327345,Full size bed in Petite room with exposed brick.,75275467,Yaron,Bronx,Port Morris,40.80952,-73.93025,Private room,26,2,77,15/08/20,1.5,4,176,New York City
203196,35671852,Newly Built Spacious Studio close to Stanford,268344439,Sanjeev,,East Palo Alto,37.45879,-122.1298,Entire home/apt,129,3,27,22/03/20,2.07,4,161,San Mateo County
155776,40154152,The Todds - A home away from home,245686814,Nicole,Bronx,Olinville,40.88093,-73.86492,Entire home/apt,129,1,16,04/09/20,1.9,1,161,New York City
178876,31620376,A cozy house in quiet residential in Cupertino,67492266,Rika,,Cupertino,37.32151,-122.00585,Entire home/apt,199,7,0,,,3,180,San Clara Country
50858,9050504,215 Oceanfront ♥ AC♥ $250 SPECIAL,37828425,Noelani,Maui,Lahaina,20.96635,-156.68117,Entire home/apt,250,2,0,,,32,180,Hawaii
108684,37248464,New Build for Groups and Singles In East Nashville,16587828,Calvit,,District 5,36.20917,-86.76461,Entire home/apt,154,2,42,24/08/20,3.26,3,348,Nashville
80468,14557528,MASTER BEDROOM IN HOLLYWOOD LA MODERN CONDO,58286290,Jennifer,City of Los Angeles,Hollywood,34.09997,-118.34015,Private room,68,31,79,10/11/17,1.59,1,365,Los Angeles
114467,30728130,UPTOWN DOUBLE |Casa de le Patron|,55958836,Jeralyn,,East Riverside,29.91963,-90.09496,Entire home/apt,116,2,18,29/07/20,1.36,1,345,New Orleans
82001,17365580,Private Bedroom in Historic Downtown LA House,13604205,Raymond,City of Los Angeles,Historic South-Central,34.02615,-118.26539,Private room,59,30,61,15/12/19,1.42,1,0,Los Angeles
90061,29413654,Great place in the heart of Beverly Hills,2477386,Modern,Other Cities,Beverly Hills,34.06265,-118.38979,Private room,120,7,0,,,1,365,Los Angeles
94687,36316526,"Charming, affordable and in a great location!",273122056,Kfir,City of Los Angeles,Studio City,34.14376,-118.37162,Entire home/apt,75,30,0,,,1,353,Los Angeles
168725,26270823,Bright &New Modern Basement Apartment,26968463,Tanya,,Kenton,45.5793,-122.69566,Entire home/apt,100,1,72,24/02/20,2.96,1,124,Portland
170101,40094761,"Northeast Portland, J&J Home stay",19929626,Joy & Josh,,King,45.55582,-122.661,Entire home/apt,88,30,1,17/02/20,0.21,1,338,Portland
9451,36934799,ACL ZILKER NEIGHBORHOOD!  1 B/B APARTMENT,277628320,Daniel,,78704,30.24809,-97.78292,Shared room,350,1,0,,,1,90,Austin
22816,37498575,◎Blue Ocean collection◎Trendy Vic Park Studio28|1A,263129335,Stay So.Flo.,,Fort Lauderdale,26.13587,-80.1262,Entire home/apt,129,1,19,09/03/20,1.86,34,220,Broward County
44508,11690656,420-Friendly Welcoming Plush Suite in 1939 Home,13832898,Cassie,,Hale,39.73933,-104.93338,Private room,100,2,251,24/05/20,4.99,1,327,Denver
208181,18672990,"Fantastic downtown loft, close to everything!",1838818,Kia,Downtown,Pioneer Square,47.59989,-122.33132,Entire home/apt,165,2,125,02/03/20,3.31,3,0,Seattle
112531,18022302,d-Most Amazing Balcony on St. Charles,6268899,Paula,,Central City,29.93295,-90.08324,Entire home/apt,79,2,114,16/03/20,2.8,8,112,New Orleans
52236,13066166,Sexy 200˚WIDE Ocean View Loft -Own Private Hot Tub,17615791,Hutt,Maui,Kihei-Makena,20.70298,-156.4277,Entire home/apt,299,4,154,16/03/20,2.96,3,0,Hawaii
47038,37776588,Room w/Bathroom in Townhouse w/ Rooftop Deck,56767702,Joe,,Jefferson Park,39.75313,-105.02261,Private room,50,1,18,02/03/20,1.74,2,0,Denver
104923,6198601,Sunny treetop loft walk to 5 points,9012461,Geoff,,District 6,36.17075,-86.74203,Entire home/apt,139,1,0,,,2,0,Nashville
91788,32018826,豪华大套房,240063445,志丽,Unincorporated Areas,Rowland Heights,33.97765,-117.9035,Private room,66,1,23,15/03/20,1.2,2,170,Los Angeles
198953,32725950,New renovated 1 BR steps to UCSF with deck & views,541068,Susheela,,Inner Sunset,37.76416,-122.4592,Entire home/apt,195,3,43,22/08/20,2.38,1,137,San Francisco
216199,22978601,Wooded home,108600653,Bijan,,Anoka,45.17577,-93.19618,Private room,120,3,0,,,4,0,Twin Cities MSA
88811,27483995,"Entire Place, 4 Beds, Train, Bus, Laundry, B59D1",198639436,Winnie,Unincorporated Areas,East Pasadena,34.14324,-118.08153,Entire home/apt,87,1,90,31/07/20,3.57,6,327,Los Angeles
936,25718935,Lockhart Lodge @ Bent Creek,129553251,Tracey,,28806,35.51008,-82.60934,Entire home/apt,154,1,69,20/09/20,2.51,1,328,Asheville
107633,31071949,Historic Boho Retreat in East Nashville.,1919404,Mary,,District 5,36.18131,-86.77065,Entire home/apt,557,2,38,10/08/20,2.08,1,261,Nashville
46809,35380596,Gorgeous remodeled townhome in Lowry!,10188678,Paul,,Lowry Field,39.72014,-104.89523,Entire home/apt,129,2,23,26/06/20,1.78,1,237,Denver
16124,4061572,Historic Banana Bungalow Downtown,21067764,Shauna,,Fort Lauderdale,26.11619,-80.15456,Entire home/apt,105,7,63,19/03/20,0.91,1,0,Broward County
10997,42536025,Willies RV,61156246,Jake,,78702,30.26923,-97.72504,Entire home/apt,125,14,3,25/03/20,0.5,3,0,Austin
148889,33154427,Artsy apartment in Brooklyn next to Subway,82524498,Javier,Brooklyn,Crown Heights,40.66697,-73.93508,Entire home/apt,85,5,17,05/04/20,0.96,1,25,New York City
10227,39691223,3 B / 2 BA House in East Austin,305054710,Morgan,,78721,30.28083,-97.67727,Entire home/apt,200,30,19,20/07/20,1.8,1,34,Austin
155143,39650197,Bushwick ground fl 4bdr w backyard (M/J/L),15756065,Genna,Brooklyn,Bushwick,40.6975,-73.92056,Private room,75,5,0,,,1,89,New York City
87229,24679423,Minimalist Chic Studio With Private Garage,5629205,Michelle,City of Los Angeles,Glassell Park,34.10776,-118.22827,Entire home/apt,78,1,83,04/09/20,3.16,1,319,Los Angeles
172978,32680933,Narragansett beach hideaway,54620890,Patricia,Washington,Narragansett,41.46996,-71.43827,Entire home/apt,249,3,11,23/08/19,0.81,1,17,Rhode Island
200589,42209720,Entire Studio Unit w/SelfCheck-In/Parking/Laundry!,19449399,Sam,,Bernal Heights,37.73482,-122.41549,Entire home/apt,107,3,12,06/09/20,7.06,1,332,San Francisco
50053,6350185,Ocean Front-Best Hilo Swim Lagoons. Sleeps 12.,33033151,Richard,Hawaii,South Hilo,19.7325,-155.01466,Entire home/apt,350,2,23,03/01/19,0.42,5,334,Hawaii
92842,33618913,"3-bedrm Townhouse in Carson - Quiet, comfy, safe",9266392,Alison,Other Cities,Carson,33.8253,-118.28526,Entire home/apt,85,20,5,08/08/20,0.31,2,252,Los Angeles
34861,12987089,Huge New Home 5 min to the Strip Sleeps 30/15 Beds,63091667,Richard,,Unincorporated Areas,36.04647,-115.20807,Entire home/apt,728,3,6,24/08/20,0.13,3,335,Clark County
47384,39920806,Contemporary Renovated Classic Bungalow near RiNo,55726275,Sarsha,,Cole,39.76605,-104.97076,Entire home/apt,99,1,32,13/06/20,4.21,12,45,Denver
112367,17014125,Irish Channel Apartment 1 block off Magazine St.,114076972,Tim,,East Riverside,29.92257,-90.08839,Entire home/apt,85,2,225,07/09/20,5.15,1,60,New Orleans
211200,37888177,Great location/great amenities/privacy,285479244,Stanley,Rainier Valley,Rainier Beach,47.5169,-122.27051,Entire home/apt,92,1,8,13/02/20,0.97,1,64,Seattle
221771,19905317,"Our Cozy, Luxurious Petworth Home",140955374,Avery,,"Brightwood Park, Crestwood, Petworth",38.95456,-77.01711,Private room,302,3,0,,,3,89,Washington D.C.
97030,39278606,"New Chic 1 bd Guest House next to LAX, Beach, DTLA",66442331,Yuriy,City of Los Angeles,Vermont Vista,33.93398,-118.28663,Entire home/apt,110,1,15,03/01/20,1.37,1,9,Los Angeles
104828,4935632,JANIS JOPLIN ROOM ~ 3 Miles To Downtown!,25430263,Danny,,District 17,36.12435,-86.76407,Private room,56,1,258,12/08/20,3.82,9,266,Nashville
63381,33038769,Ocean Front - Condominium 207 (Lahaina Shores 207),239820824,Puamana,Maui,Lahaina,20.86738,-156.67529,Entire home/apt,381,1,0,,,29,90,Hawaii
3758,7531639,Beautiful Condo near The Domain,27700273,Ivan And Christina-Ante,,78758,30.40783,-97.70128,Entire home/apt,91,30,203,08/09/20,3.28,1,292,Austin
1600,38530930,Mountain Escape~Hike and Hot Tub Resort~Suite 1,295508816,Michael,,28804,35.63999,-82.51982,Private room,43,30,7,10/07/20,0.58,4,0,Asheville
160961,43768332,Luxury Apartment in Harlem,326175925,Johnathen,Manhattan,Harlem,40.81062,-73.94718,Entire home/apt,135,2,4,06/09/20,1.5,1,323,New York City
92548,33191193,Das Gasthaus,249900110,Claudia,Unincorporated Areas,Topanga,34.08509,-118.60376,Entire home/apt,203,1,44,17/03/20,2.68,1,0,Los Angeles
155628,40031760,Dream house next to everything you need  and more,308567156,Mark,Bronx,Kingsbridge,40.88415,-73.89689,Entire home/apt,250,3,4,02/01/20,0.4,1,0,New York City
110228,43566739,Live + Work + Stay + Easy  | 1BR in Nashville,359230893,PCHMideast,,District 21,36.15664,-86.79764,Entire home/apt,91,90,0,,,21,360,Nashville
206257,4760968,Mtn Views 3 blocks from light rail,7740890,Daniel,Beacon Hill,North Beacon Hill,47.57878,-122.30796,Private room,60,1,237,18/01/20,3.52,1,351,Seattle
102820,44466077,Shared Female Room – Top Bunk Bed,352801912,Vince,City of Los Angeles,Green Meadows,33.92917,-118.26376,Shared room,20,1,0,,,35,365,Los Angeles
157957,41776019,Master Bedroom & Bath at Bainbridge Manor,653077,Tara,Brooklyn,Bedford-Stuyvesant,40.68227,-73.91334,Private room,90,2,0,,,3,89,New York City
124733,7084621,Renovated W. Village 2 bed 2 bath,27919510,Alexander,Manhattan,West Village,40.73634,-74.00485,Entire home/apt,350,1,7,01/01/17,0.11,1,0,New York City
82069,17511930,Best LA Location Glamorous Hollywood Duplex,5958166,Angie,City of Los Angeles,Hancock Park,34.07672,-118.3419,Entire home/apt,580,30,10,28/06/19,0.26,5,363,Los Angeles
17426,15534483,Rezervë | Blue Manor quaint luxury bungalow,99924558,Rezerve,,Wilton Manors,26.16185,-80.14274,Entire home/apt,375,3,68,25/05/20,1.54,1,312,Broward County
224248,37106577,Ideal Foggy Bottom 1BR w/ W/D + Gym near Kennedy Center by Blueground,107434423,Blueground,,"West End, Foggy Bottom, GWU",38.89817,-77.05123,Entire home/apt,149,30,0,,,133,325,Washington D.C.
152932,37630778,"Comfy, Warm Apartment in Harlem near the Hudson!!",19374097,Michael,Manhattan,Harlem,40.82989,-73.94834,Private room,96,2,12,18/02/20,0.99,1,89,New York City
85606,22360392,Your Beachside Studio,114265515,Myles,City of Los Angeles,Venice,33.969,-118.45799,Entire home/apt,135,30,142,28/01/20,4.31,1,101,Los Angeles
117041,45119236,Live + Work + Stay + Easy | 1BR in New Orleans,359233035,PCHSouth,,Lower Garden District,29.93557,-90.06926,Entire home/apt,116,30,0,,,75,361,New Orleans
12215,45158201,Love the place you stay | 1BR in Austin,359036978,Kia,,78717,30.47723,-97.78519,Entire home/apt,91,30,0,,,593,360,Austin
125096,7462019,LAKOU LAKAY- A HOME AWAY FROM HOME,39085295,Guerline,Brooklyn,Flatbush,40.63968,-73.95215,Entire home/apt,180,3,129,19/03/20,2.41,1,352,New York City
195974,10280573,Mission Private 1BR/BA Garden Suite Separate Entry,50292803,Bradley,,Mission,37.75111,-122.41336,Entire home/apt,165,3,140,17/08/20,2.51,1,121,San Francisco
147265,30974895,Spacious shared room near L-train,10994664,Alexander,Brooklyn,Bushwick,40.6915,-73.90623,Shared room,24,30,1,31/08/20,1.0,8,365,New York City
146051,29957848,Beautiful UWS Apt. \\ 4 mins from Central Park,74595855,Alon,Manhattan,Upper West Side,40.77951,-73.97765,Entire home/apt,200,3,4,14/10/19,0.2,1,0,New York City
203321,37432047,Redwood Cozy  House,259503163,Joy,,Unincorporated Areas,37.47437,-122.2051,Entire home/apt,120,31,1,13/08/19,0.09,1,90,San Mateo County
130298,12987983,Big Room in Brownstone Apartment!,4386682,Francesco,Queens,Ridgewood,40.70204,-73.91068,Private room,50,28,4,21/07/18,0.1,3,0,New York City
54527,17738157,Hale Ona studio,105388963,Yuriy,Hawaii,North Kona,19.64285,-155.98899,Entire home/apt,99,1,12,08/03/20,0.29,2,0,Hawaii
159352,42762205,Good location♪ 2min from station! 5Lines u can use,334163301,Soya,Queens,Elmhurst,40.74642,-73.89122,Private room,34,28,0,,,92,30,New York City
171544,17720278,The Sunny Cape,120811533,Tim,Washington,Charlestown,41.40993,-71.62225,Entire home/apt,599,1,36,02/09/19,0.99,1,82,Rhode Island
171051,10271762,Newport - Stay In A Beautiful 1887 Victorian Home!,52818013,Cindy,Newport,Newport,41.4929,-71.30886,Private room,300,1,28,02/06/19,0.55,1,180,Rhode Island
91752,31963557,10mins to LAX & Near Beach Comfy Cozy Private Room,222294108,Kim,Other Cities,Hawthorne,33.89928,-118.33121,Private room,117,2,0,,,2,89,Los Angeles
134045,16511493,You Deserve The Royal Treatment.,108433379,Percy,Bronx,Norwood,40.87692,-73.87427,Entire home/apt,130,5,0,,,1,89,New York City
35342,16651931,Beautiful Studio next to Strip and PH,6524762,Armstrong,,Unincorporated Areas,36.10903,-115.16984,Entire home/apt,344,3,6,10/01/20,0.19,10,364,Clark County
52112,12782660,MESMERIZING Oceanfront Views - Seabreeze#6!,69552498,Captain Cook Resorts,Honolulu,Primary Urban Center,21.25817,-157.81863,Entire home/apt,315,30,0,,,154,142,Hawaii
190379,34285958,GreatLocation 1BR San Diego Pulse Suite+Amenities,236664052,Chimera Vacations,,Cortez Hill,32.71984,-117.1576,Entire home/apt,500,2,0,,,2,365,San Diego
79790,13496008,Amazing view in Studio city,16114853,Sam,City of Los Angeles,Studio City,34.1398,-118.38475,Entire home/apt,194,30,201,30/08/20,3.89,1,334,Los Angeles
187029,21607584,1 cozy  updated bedroom,93692617,Carlos,,Mission Bay,32.58571,-117.05101,Private room,59,1,4,17/07/18,0.15,2,90,San Diego
